	Total Centros			Centros propios			Centros adscritos		
	Ambos Sexos	Mujeres	Hombres	Ambos Sexos	Mujeres	Hombres	Ambos Sexos	Mujeres	Hombres
Total Universidades	1252832.0	679498.0	573334.0	1192786.0	642457.0	550329.0	60046.0	37041.0	23005.0
Universidades Públicas Presenciales	1103626.0	599961.0	503665.0	1043580.0	562920.0	480660.0	60046.0	37041.0	23005.0
A Coruña	20136.0	10181.0	9955.0	18921.0	9301.0	9620.0	1215.0	880.0	335.0
Alcalá	18190.0	10285.0	7905.0	15709.0	8200.0	7509.0	2481.0	2085.0	396.0
Alicante	27158.0	15455.0	11703.0	27013.0	15372.0	11641.0	145.0	83.0	62.0
Almería	11424.0	6712.0	4712.0	10869.0	6310.0	4559.0	555.0	402.0	153.0
Autónoma de Barcelona	34864.0	20958.0	13906.0	29856.0	17794.0	12062.0	5008.0	3164.0	1844.0
Autónoma de Madrid	26583.0	16178.0	10405.0	24347.0	14276.0	10071.0	2236.0	1902.0	334.0
Barcelona	49822.0	30877.0	18945.0	46828.0	29100.0	17728.0	2994.0	1777.0	1217.0
Burgos	8468.0	4646.0	3822.0	8037.0	4314.0	3723.0	431.0	332.0	99.0
Cádiz	20097.0	10969.0	9128.0	17995.0	9454.0	8541.0	2102.0	1515.0	587.0
Cantabria	10478.0	5257.0	5221.0	9933.0	4877.0	5056.0	545.0	380.0	165.0
Carlos III de Madrid	14416.0	6047.0	8369.0	14416.0	6047.0	8369.0	.	.	.
Castilla-La Mancha	27328.0	14823.0	12505.0	27328.0	14823.0	12505.0	.	.	.
Complutense de Madrid	72457.0	45191.0	27266.0	62800.0	39202.0	23598.0	9657.0	5989.0	3668.0
Córdoba	18340.0	9982.0	8358.0	15896.0	8619.0	7277.0	2444.0	1363.0	1081.0
Extremadura	22663.0	12103.0	10560.0	22182.0	11777.0	10405.0	481.0	326.0	155.0
Girona	12471.0	6965.0	5506.0	10535.0	5782.0	4753.0	1936.0	1183.0	753.0
Granada	54024.0	31119.0	22905.0	52396.0	30075.0	22321.0	1628.0	1044.0	584.0
Huelva	10593.0	5958.0	4635.0	10593.0	5958.0	4635.0	.	.	.
Illes Balears	13958.0	8355.0	5603.0	12289.0	7183.0	5106.0	1669.0	1172.0	497.0
Jaén	15694.0	8450.0	7244.0	14833.0	7804.0	7029.0	861.0	646.0	215.0
Jaume I de Castellón	12414.0	6905.0	5509.0	12414.0	6905.0	5509.0	.	.	.
La Laguna	22788.0	13056.0	9732.0	22431.0	12806.0	9625.0	357.0	250.0	107.0
La Rioja	5487.0	2944.0	2543.0	5181.0	2693.0	2488.0	306.0	251.0	55.0
Las Palmas de Gran Canaria	14863.0	7995.0	6868.0	14608.0	7813.0	6795.0	255.0	182.0	73.0
León	12590.0	7298.0	5292.0	12424.0	7165.0	5259.0	166.0	133.0	33.0
Lleida	8599.0	4700.0	3899.0	7648.0	4383.0	3265.0	951.0	317.0	634.0
Málaga	32697.0	17883.0	14814.0	31790.0	17217.0	14573.0	907.0	666.0	241.0
Miguel Hernández de Elche	11497.0	5494.0	6003.0	10919.0	5217.0	5702.0	578.0	277.0	301.0
Murcia	28725.0	17948.0	10777.0	27632.0	17182.0	10450.0	1093.0	766.0	327.0
Oviedo	24367.0	13242.0	11125.0	22404.0	11735.0	10669.0	1963.0	1507.0	456.0
Pablo de Olavide	9517.0	5389.0	4128.0	9517.0	5389.0	4128.0	.	.	.
País Vasco/Euskal Herriko Unibertsitatea	41942.0	22794.0	19148.0	41765.0	22682.0	19083.0	177.0	112.0	65.0
Politécnica de Cartagena	4137.0	1191.0	2946.0	3921.0	1089.0	2832.0	216.0	102.0	114.0
Politécnica de Catalunya	29712.0	7703.0	22009.0	25762.0	6883.0	18879.0	3950.0	820.0	3130.0
Politécnica de Madrid	36023.0	11488.0	24535.0	36023.0	11488.0	24535.0	.	.	.
Politècnica de València	35200.0	12865.0	22335.0	34895.0	12846.0	22049.0	305.0	19.0	286.0
Pompeu Fabra	10079.0	5908.0	4171.0	9038.0	5343.0	3695.0	1041.0	565.0	476.0
Pública de Navarra	7288.0	3540.0	3748.0	7288.0	3540.0	3748.0	.	.	.
Rey Juan Carlos	25779.0	14667.0	11112.0	24531.0	14068.0	10463.0	1248.0	599.0	649.0
Rovira i Virgili	11725.0	6876.0	4849.0	11666.0	6842.0	4824.0	59.0	34.0	25.0
Salamanca	24942.0	14803.0	10139.0	24520.0	14468.0	10052.0	422.0	335.0	87.0
Santiago de Compostela	25857.0	16535.0	9322.0	24929.0	15822.0	9107.0	928.0	713.0	215.0
Sevilla	59051.0	31510.0	27541.0	56525.0	29749.0	26776.0	2526.0	1761.0	765.0
València (Estudi General)	45574.0	27173.0	18401.0	44213.0	26284.0	17929.0	1361.0	889.0	472.0
Valladolid	23883.0	13167.0	10716.0	23275.0	12785.0	10490.0	608.0	382.0	226.0
Vigo	18995.0	9885.0	9110.0	17652.0	8830.0	8822.0	1343.0	1055.0	288.0
Zaragoza	30731.0	16491.0	14240.0	27833.0	15428.0	12405.0	2898.0	1063.0	1835.0
Universidades Públicas No Presenciales	149206.0	79537.0	69669.0	149206.0	79537.0	69669.0	.	.	.
Nacional de Educación a Distancia	149206.0	79537.0	69669.0	149206.0	79537.0	69669.0	.	.	.
									
Fuente:S.G. de Coordinación y Seguimiento Universitario. Ministerio de Educación, Cultura y Deporte.									
									
Copyright EUCACIÓN 2015									
