	Total Centros			Centros propios			Centros adscritos		
	Ambos Sexos	Mujeres	Hombres	Ambos Sexos	Mujeres	Hombres	Ambos Sexos	Mujeres	Hombres
Total Universidades	1260404.0	683215.0	577189.0	1203443.0	649286.0	554157.0	56961.0	33929.0	23032.0
Universidades Públicas Presenciales	1105922.0	597669.0	508253.0	1048961.0	563740.0	485221.0	56961.0	33929.0	23032.0
A Coruña	19034.0	9501.0	9533.0	18025.0	8794.0	9231.0	1009.0	707.0	302.0
Alcalá	16539.0	9054.0	7485.0	15533.0	8268.0	7265.0	1006.0	786.0	220.0
Alicante	27374.0	15560.0	11814.0	27267.0	15493.0	11774.0	107.0	67.0	40.0
Almería	11884.0	6905.0	4979.0	11249.0	6428.0	4821.0	635.0	477.0	158.0
Autónoma de Barcelona	35501.0	21269.0	14232.0	29324.0	17466.0	11858.0	6177.0	3803.0	2374.0
Autónoma de Madrid	25301.0	15438.0	9863.0	23494.0	13747.0	9747.0	1807.0	1691.0	116.0
Barcelona	47855.0	29565.0	18290.0	44884.0	27836.0	17048.0	2971.0	1729.0	1242.0
Burgos	8284.0	4593.0	3691.0	7886.0	4286.0	3600.0	398.0	307.0	91.0
Cádiz	20460.0	10926.0	9534.0	19347.0	10124.0	9223.0	1113.0	802.0	311.0
Cantabria	10677.0	5362.0	5315.0	9982.0	4877.0	5105.0	695.0	485.0	210.0
Carlos III de Madrid	14983.0	6317.0	8666.0	14983.0	6317.0	8666.0	.	.	.
Castilla-La Mancha	27426.0	15248.0	12178.0	27426.0	15248.0	12178.0	.	.	.
Complutense de Madrid	71328.0	44230.0	27098.0	62791.0	39011.0	23780.0	8537.0	5219.0	3318.0
Córdoba	18269.0	10045.0	8224.0	16334.0	9015.0	7319.0	1935.0	1030.0	905.0
Extremadura	21739.0	11790.0	9949.0	21238.0	11439.0	9799.0	501.0	351.0	150.0
Girona	13621.0	7630.0	5991.0	10950.0	6119.0	4831.0	2671.0	1511.0	1160.0
Granada	52295.0	29704.0	22591.0	51157.0	28939.0	22218.0	1138.0	765.0	373.0
Huelva	11090.0	6217.0	4873.0	11090.0	6217.0	4873.0	.	.	.
Illes Balears	13605.0	8025.0	5580.0	12405.0	7206.0	5199.0	1200.0	819.0	381.0
Jaén	15402.0	8241.0	7161.0	14846.0	7853.0	6993.0	556.0	388.0	168.0
Jaume I de Castellón	12622.0	7057.0	5565.0	12622.0	7057.0	5565.0	.	.	.
La Laguna	21642.0	12428.0	9214.0	21232.0	12139.0	9093.0	410.0	289.0	121.0
La Rioja	4849.0	2525.0	2324.0	4610.0	2323.0	2287.0	239.0	202.0	37.0
Las Palmas de Gran Canaria	20797.0	11896.0	8901.0	20489.0	11681.0	8808.0	308.0	215.0	93.0
León	14381.0	7040.0	7341.0	14233.0	6915.0	7318.0	148.0	125.0	23.0
Lleida	8547.0	4789.0	3758.0	7748.0	4554.0	3194.0	799.0	235.0	564.0
Málaga	36037.0	19447.0	16590.0	35069.0	18717.0	16352.0	968.0	730.0	238.0
Miguel Hernández de Elche	10725.0	4791.0	5934.0	10187.0	4513.0	5674.0	538.0	278.0	260.0
Murcia	29994.0	18555.0	11439.0	28874.0	17753.0	11121.0	1120.0	802.0	318.0
Oviedo	23259.0	12490.0	10769.0	21908.0	11453.0	10455.0	1351.0	1037.0	314.0
Pablo de Olavide	10454.0	5883.0	4571.0	10454.0	5883.0	4571.0	.	.	.
País Vasco/Euskal Herriko Unibertsitatea	41244.0	21775.0	19469.0	40697.0	21426.0	19271.0	547.0	349.0	198.0
Politécnica de Cartagena	6351.0	1781.0	4570.0	6089.0	1732.0	4357.0	262.0	49.0	213.0
Politécnica de Catalunya	28923.0	7643.0	21280.0	24420.0	6547.0	17873.0	4503.0	1096.0	3407.0
Politécnica de Madrid	34414.0	10714.0	23700.0	34414.0	10714.0	23700.0	.	.	.
Politècnica de València	31797.0	11294.0	20503.0	31479.0	11282.0	20197.0	318.0	12.0	306.0
Pompeu Fabra	9472.0	5583.0	3889.0	9389.0	5558.0	3831.0	83.0	25.0	58.0
Pública de Navarra	7044.0	3404.0	3640.0	7044.0	3404.0	3640.0	.	.	.
Rey Juan Carlos	30572.0	17575.0	12997.0	28743.0	16742.0	12001.0	1829.0	833.0	996.0
Rovira i Virgili	11874.0	7081.0	4793.0	11731.0	7055.0	4676.0	143.0	26.0	117.0
Salamanca	25833.0	15047.0	10786.0	25273.0	14631.0	10642.0	560.0	416.0	144.0
Santiago de Compostela	24000.0	15291.0	8709.0	23019.0	14524.0	8495.0	981.0	767.0	214.0
Sevilla	60821.0	32174.0	28647.0	58000.0	30203.0	27797.0	2821.0	1971.0	850.0
València (Estudi General)	44454.0	26725.0	17729.0	42679.0	25497.0	17182.0	1775.0	1228.0	547.0
Valladolid	24039.0	13356.0	10683.0	23323.0	12856.0	10467.0	716.0	500.0	216.0
Vigo	18637.0	9554.0	9083.0	17209.0	8599.0	8610.0	1428.0	955.0	473.0
Zaragoza	30473.0	16151.0	14322.0	27815.0	15299.0	12516.0	2658.0	852.0	1806.0
Universidades Públicas No Presenciales	154482.0	85546.0	68936.0	154482.0	85546.0	68936.0	.	.	.
Nacional de Educación a Distancia	154482.0	85546.0	68936.0	154482.0	85546.0	68936.0	.	.	.
									
Fuente:S.G. de Coordinación y Seguimiento Universitario. Ministerio de Educación, Cultura y Deporte.									
									
Copyright EUCACIÓN 2015									
