Team,u,j,t,stig,net
FH,11,3,2,36,18
Breiðablik,9,5,2,32,16
KR,9,4,3,31,12
Valur,7,4,5,25,6
Fjölnir,7,4,5,25,2
Fylkir,5,6,5,21,-5
Stjarnan,5,5,6,20,-3
Víkingur R.,4,6,6,18,0
ÍA,4,5,7,17,-6
ÍBV,4,3,9,15,-9
Leiknir R.,3,5,8,14,-7
Keflavík,1,4,11,7,-24
