	Total Centros			Centros propios			Centros adscritos		
	Ambos Sexos	Mujeres	Hombres	Ambos Sexos	Mujeres	Hombres	Ambos Sexos	Mujeres	Hombres
Total Universidades	1282794.0	693605.0	589189.0	1224368.0	658535.0	565833.0	58426.0	35070.0	23356.0
Universidades Públicas Presenciales	1121252.0	605272.0	515980.0	1062826.0	570202.0	492624.0	58426.0	35070.0	23356.0
A Coruña	19754.0	9913.0	9841.0	18631.0	9111.0	9520.0	1123.0	802.0	321.0
Alcalá	17242.0	9504.0	7738.0	15596.0	8156.0	7440.0	1646.0	1348.0	298.0
Alicante	27870.0	15814.0	12056.0	27728.0	15732.0	11996.0	142.0	82.0	60.0
Almería	11787.0	6923.0	4864.0	11140.0	6443.0	4697.0	647.0	480.0	167.0
Autónoma de Barcelona	35198.0	20982.0	14216.0	29930.0	17728.0	12202.0	5268.0	3254.0	2014.0
Autónoma de Madrid	25593.0	15338.0	10255.0	24055.0	14088.0	9967.0	1538.0	1250.0	288.0
Barcelona	48599.0	29917.0	18682.0	45744.0	28282.0	17462.0	2855.0	1635.0	1220.0
Burgos	8693.0	4732.0	3961.0	8271.0	4408.0	3863.0	422.0	324.0	98.0
Cádiz	20121.0	10748.0	9373.0	18766.0	9831.0	8935.0	1355.0	917.0	438.0
Cantabria	10776.0	5408.0	5368.0	10205.0	5014.0	5191.0	571.0	394.0	177.0
Carlos III de Madrid	15953.0	6876.0	9077.0	15953.0	6876.0	9077.0	.	.	.
Castilla-La Mancha	27454.0	14867.0	12587.0	27454.0	14867.0	12587.0	.	.	.
Complutense de Madrid	71720.0	44523.0	27197.0	62473.0	38880.0	23593.0	9247.0	5643.0	3604.0
Córdoba	18349.0	9963.0	8386.0	16042.0	8690.0	7352.0	2307.0	1273.0	1034.0
Extremadura	22527.0	11950.0	10577.0	22051.0	11628.0	10423.0	476.0	322.0	154.0
Girona	12988.0	7179.0	5809.0	10781.0	5921.0	4860.0	2207.0	1258.0	949.0
Granada	54126.0	30962.0	23164.0	52632.0	30009.0	22623.0	1494.0	953.0	541.0
Huelva	10804.0	6102.0	4702.0	10804.0	6102.0	4702.0	.	.	.
Illes Balears	13629.0	8104.0	5525.0	12177.0	7084.0	5093.0	1452.0	1020.0	432.0
Jaén	15928.0	8470.0	7458.0	15206.0	7952.0	7254.0	722.0	518.0	204.0
Jaume I de Castellón	12959.0	7193.0	5766.0	12959.0	7193.0	5766.0	.	.	.
La Laguna	22851.0	13043.0	9808.0	22512.0	12810.0	9702.0	339.0	233.0	106.0
La Rioja	5144.0	2700.0	2444.0	4878.0	2481.0	2397.0	266.0	219.0	47.0
Las Palmas de Gran Canaria	20313.0	11561.0	8752.0	20013.0	11347.0	8666.0	300.0	214.0	86.0
León	14144.0	7603.0	6541.0	13891.0	7388.0	6503.0	253.0	215.0	38.0
Lleida	8578.0	4712.0	3866.0	7659.0	4408.0	3251.0	919.0	304.0	615.0
Málaga	35877.0	19417.0	16460.0	34949.0	18718.0	16231.0	928.0	699.0	229.0
Miguel Hernández de Elche	11774.0	5527.0	6247.0	11289.0	5304.0	5985.0	485.0	223.0	262.0
Murcia	29154.0	18024.0	11130.0	28028.0	17240.0	10788.0	1126.0	784.0	342.0
Oviedo	24175.0	13006.0	11169.0	22351.0	11624.0	10727.0	1824.0	1382.0	442.0
Pablo de Olavide	10569.0	5964.0	4605.0	10569.0	5964.0	4605.0	.	.	.
País Vasco/Euskal Herriko Unibertsitatea	41773.0	22424.0	19349.0	41355.0	22134.0	19221.0	418.0	290.0	128.0
Politécnica de Cartagena	6594.0	1857.0	4737.0	6325.0	1770.0	4555.0	269.0	87.0	182.0
Politécnica de Catalunya	29943.0	7832.0	22111.0	25680.0	6829.0	18851.0	4263.0	1003.0	3260.0
Politécnica de Madrid	35976.0	11251.0	24725.0	35976.0	11251.0	24725.0	.	.	.
Politècnica de València	33861.0	11987.0	21874.0	33588.0	11971.0	21617.0	273.0	16.0	257.0
Pompeu Fabra	11366.0	6688.0	4678.0	9221.0	5447.0	3774.0	2145.0	1241.0	904.0
Pública de Navarra	7057.0	3403.0	3654.0	7057.0	3403.0	3654.0	.	.	.
Rey Juan Carlos	27084.0	15524.0	11560.0	26642.0	15327.0	11315.0	442.0	197.0	245.0
Rovira i Virgili	11719.0	6849.0	4870.0	11616.0	6818.0	4798.0	103.0	31.0	72.0
Salamanca	26495.0	15760.0	10735.0	25920.0	15308.0	10612.0	575.0	452.0	123.0
Santiago de Compostela	24998.0	15966.0	9032.0	24050.0	15234.0	8816.0	948.0	732.0	216.0
Sevilla	60989.0	32236.0	28753.0	58434.0	30459.0	27975.0	2555.0	1777.0	778.0
València (Estudi General)	44942.0	26887.0	18055.0	43267.0	25750.0	17517.0	1675.0	1137.0	538.0
Valladolid	24298.0	13559.0	10739.0	23748.0	13197.0	10551.0	550.0	362.0	188.0
Vigo	18448.0	9461.0	8987.0	17035.0	8454.0	8581.0	1413.0	1007.0	406.0
Zaragoza	31060.0	16563.0	14497.0	28175.0	15571.0	12604.0	2885.0	992.0	1893.0
Universidades Públicas No Presenciales	161542.0	88333.0	73209.0	161542.0	88333.0	73209.0	.	.	.
Nacional de Educación a Distancia	161542.0	88333.0	73209.0	161542.0	88333.0	73209.0	.	.	.
									
Fuente:S.G. de Coordinación y Seguimiento Universitario. Ministerio de Educación, Cultura y Deporte.									
									
Copyright EUCACIÓN 2015									
